Agents,Model,Avg Reward,Std Reward,Efficiency (%)
1,LightMetaPolicy,114.18004405341158,29.797899875966934,97.7551551369451
1,SimpleMLPPolicy,116.80206930617302,27.0139595754564,100.0
1,RandomPolicy,116.48433283309608,41.46777881935733,99.72797016785373
1,RuleBasedGreedyPolicy,17.224843661524897,45.62501753913072,14.747036387149487
2,LightMetaPolicy,139.3109321568063,62.46726760885335,96.578107628322
2,SimpleMLPPolicy,144.24690603065068,62.73174364075224,100.0
2,RandomPolicy,137.57159469494465,63.19507525311064,95.3723018958288
2,RuleBasedGreedyPolicy,40.977812053578894,72.91581005376123,28.40810467357381
3,LightMetaPolicy,116.73211881557036,68.56037839617555,92.09747295524848
3,SimpleMLPPolicy,126.7484493003323,61.78930643665482,100.0
3,RandomPolicy,124.17804469627075,67.77641924844214,97.9720425628475
3,RuleBasedGreedyPolicy,21.216672771516382,66.393818862289,16.739197117310027
3,IPPO_PPO (simple_spread_v2),0.0,0.0,0.0
4,LightMetaPolicy,139.5511915514217,53.29884490871111,97.69850632252263
4,SimpleMLPPolicy,142.83861320329183,42.186460855559915,100.0
4,RandomPolicy,141.69112798783377,56.28766644196959,99.19665614939504
4,RuleBasedGreedyPolicy,138.3619061381332,48.953101525448695,96.86589853768236
5,LightMetaPolicy,121.26639976384342,53.64778132589871,61.948547765213036
5,SimpleMLPPolicy,121.56533138184713,51.44592836033538,62.101256014592074
5,RandomPolicy,122.39916774728397,55.879113065699094,62.52721862264533
5,RuleBasedGreedyPolicy,195.75341818091835,37.321890155499794,100.0
